대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
금오공과대학교,경북,정시,다군,빅데이터공학부,7,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,재료공학부,10,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,고분자공학전공,24,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,전자공학부,14,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,컴퓨터공학부 인공지능공학전공,11,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,화학소재공학부 화학공학전공,7,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,광시스템공학과,2,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,바이오메디컬공학과,3,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,경영학과,2,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,고등학교 전 과,85,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,를 초과,1,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,국외고 학생부 교과,1,,10%,,,,수학:10%,
대구가톨릭대학교,경북,정시,다군,각 실기과목별 제시물과,12,,,20%,,,영어:20%,
대구가톨릭대학교,경북,정시,다군,전 교육과,00,,,20%,,,영어:20%,
대진대학교,경기,정시,나군,이공계열,65,,15%,,,,수학:15%,
동덕여자대학교,서울,정시,가군,자연정보융합학부,30,,100%,,,,수학:100%,
동덕여자대학교,서울,정시,나군,실용음악전공,4,,100%,,,,수학:100%,
동아대학교,부산,정시,가군,신소재공학과,6,25%,25%,25%,30%,,국어:25% | 수학:25% | 영어:25% | 탐구:30%,
명지대학교,서울,정시,,수능 농어촌학생 인문사회계열,12,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,3,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,3,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,3,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,3,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,2,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,2,,,,10%,,탐구:10%,
명지대학교,서울,정시,다군,명의 면접위원과,3,,,,10%,,탐구:10%,
명지대학교,서울,정시,나군,명의 면접위원과,3,,,,10%,,탐구:10%,
목포대학교2028,전남,정시,,자연계열지원자의 경우 과,4,,,,5%,,탐구:5%,
배재대학교,대전,정시,다군,반영 교과 과목 수 반영 교과 과,4,50%,50%,50%,,,국어:50% | 수학:50% | 영어:50%,
배재대학교,대전,정시,다군,한국 또는 외국에서 고등학교 과,0,50%,50%,50%,,,국어:50% | 수학:50% | 영어:50%,
배재대학교,대전,정시,다군,명 미만인 경우 해당 과,10,50%,50%,50%,,,국어:50% | 수학:50% | 영어:50%,
부산가톨릭대학교,부산,정시,,전체 과,380,,100%,,,,수학:100%,
부산대학교,부산,정시,가군,학생부,463,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,학생부,569,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,학생부,131,,,,50%,,탐구:50%,
부산대학교,부산,정시,가군,학생부,38,,,,50%,,탐구:50%,
부산대학교,부산,정시,가군,학생부,150,,,,50%,,탐구:50%,
부산대학교,부산,정시,가군,학생부,87,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,특수교육대상자전형은 단과,1,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,학생부,197,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,무용학과,8,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,개정 교육과,382,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,인원으로 인해 정시모집으로 이월된 경우 각 모집단위별 실기 내용은 수시모집과,61,,,,40%,,탐구:40%,
상명대학교,서울,정시,나군,학생부교과,349,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,155,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,70,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,144,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,고등학교를 졸업하거나 평생교육시설의 교육과,5,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,모집계열 모집단위 모집인원 모집계열,98,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학교생활기록부 교과,138,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부교과,6,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,7,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,고사시행 안내 등 세부,491,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,모집단위별 실기고사 세부,52,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,부모의 거주는 각각의 주민등록상 거주기록과,20,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,고등학교를 졸업하거나 평생교육시설의 교육과,5,,10%,,5%,,수학:10% | 탐구:5%,
상지대학교,강원,정시,다군,자 유 전 공 학 부,5,25%,35%,20%,20%,,국어:25% | 수학:35% | 영어:20% | 탐구:20%,
상지대학교,강원,정시,다군,생활체육학전공,3,25%,35%,20%,20%,,국어:25% | 수학:35% | 영어:20% | 탐구:20%,
서울과학기술대학교,서울,정시,가군,행정학과,10,,,20%,,,영어:20%,
서울시립대학교,서울,정시,,학생부교과,20,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,86,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,346,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,424,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,동일계열 교과,132,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,보건복지부장관으로부,46,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,실기과,37,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부교과,674,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,실기과,57,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,실기고사 과,34,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,25,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,102,,,,3%,,탐구:3%,
